Core,Species,Sp_code,Tree,Repeat,Date_collected,Section,Fresh_Mass,Length_p,Length_d,Notes,Stored,Dry_Mass
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,31,0.2438,310,320,,Stored,0.1152
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,32,0.2502,320,330,,Stored,0.1248
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,33,0.2435,330,340,,Stored,0.1257
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,34,0.2586,340,350,,Stored,0.1323
Core_Cast_1,Castanospermum australe,CAST,1,a,19-Jun-15,35,0.1322,350,355,"5.22,5.48",Stored,0.0651
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,1,0.2376,0,10,,Stored,0.0997
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,2,0.2157,10,20,,Stored,0.1144
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,3,0.2174,20,30,,Stored,0.1189
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,4,0.22,30,40,,Stored,0.1238
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,5,0.2051,40,50,,Stored,0.1134
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,6,0.2064,50,60,,Stored,0.1089
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,7,0.1889,60,70,,Stored,0.1005
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,8,0.2162,70,80,,Stored,0.119
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,9,0.2022,80,90,,Stored,0.1094
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,10,0.191,90,100,,Stored,0.0991
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,11,0.2168,100,110,May have a transition here,Stored,0.1122
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,12,0.1929,110,120,,Stored,0.102
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,13,0.2177,120,130,,Stored,0.1104
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,14,0.2299,130,140,,Stored,0.1124
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,15,0.2356,140,150,,Stored,0.1141
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,16,0.238,150,160,,Stored,0.1085
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,17,0.2443,160,170,,Stored,0.115
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,18,0.2338,170,180,,Stored,0.1004
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,19,0.2181,180,190,,Stored,0.0976
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,20,0.2473,190,200,,Stored,0.1107
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,21,0.2471,200,210,,Stored,0.1126
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,22,0.2369,210,220,,Stored,0.1105
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,23,0.2387,220,230,,Stored,0.1085
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,24,0.252,230,240,,Stored,0.0971
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,25,0.2388,240,250,,Stored,0.0995
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,26,0.1988,250,260,"Punky bit, 2 pieces, ~1 cm",Stored,0.0984
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,27,0.1695,260,270,"Punky bit, 2 pieces",Stored,0.083
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,28,0.2356,270,280,,Stored,0.0909
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,29,0.2333,280,290,,Stored,0.0924
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,30,0.2318,290,300,,Stored,0.0897
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,31,0.2276,300,310,Very small piece,Stored,0.0692
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,32,0.2521,310,320,,Stored,0.1185
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,33,0.2392,320,330,Small piece,Stored,0.1089
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,34,0.2328,330,340,,Stored,0.1036
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,35,0.2452,340,350,,Stored,0.1155
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,36,0.2293,350,360,,Stored,0.1088
Core_Syz_1,Syzygium sayeri,SYZ,1,a,21-Jun-15,37,0.0682,360,363,"2.74,3.17",Stored,0.032
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,1,0.2156,0,10,2 large and 1 very small piece,Stored,0.0749
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,2,0.2063,10,,Has discontinuity,Stored,0.0909
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,3,0.2023,,,,Stored,0.1067
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,4,0.2243,,,,Stored,0.1177
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,5,0.2005,,,,Stored,0.1026
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,6,0.2174,,,Has black discontinuity,Stored,0.1102
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,7,0.2071,,,Small piece,Stored,0.102
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,8,0.2264,,,,Stored,0.0999
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,9,0.2414,,,,Stored,0.0993
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,10,0.2249,,,,Stored,0.0886
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,11,0.2308,,,Has black discontinuity,Stored,0.0903
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,12,0.2304,,,,Stored,0.0925
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,13,0.2516,,,,Stored,0.0999
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,14,0.2264,,,,Stored,0.0871
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,15,0.2438,,,,Stored,0.0922
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,16,0.2389,,,,Stored,0.0959
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,17,0.2303,,,,Stored,0.0874
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,18,0.2344,,,Has black discontinuity,Stored,0.0862
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,19,0.2612,11,11,,Stored,0.1022
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,20,0.2203,10,9,,Stored,0.0845
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,21,0.2461,,,,Stored,0.0968
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,22,0.2263,,,,Stored,0.0845
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,23,0.2355,,,,Stored,0.0837
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,24,0.2153,,,"2 pieces (1 large, 1 small), pre existing break",Stored,0.0784
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,25,0.2243,,,,Stored,0.0832
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,26,0.2468,,,Small black inclusions,Stored,0.1006
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,27,0.2322,,,Small black inclusions,Stored,0.094
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,28,0.2349,,,Small black inclusions,Stored,0.0976
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,29,0.2397,,,Black line,Stored,0.096
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,30,0.2297,,,Black line,Stored,0.0965
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,31,0.2462,,,,Stored,0.1023
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,32,0.2284,,,Very small piece,Stored,0.0945
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,33,0.2297,,,,Stored,0.1002
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,34,0.2253,,,Black line,Stored,0.0985
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,35,0.2497,,,10.84,Stored,0.1063
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,36,0.2201,,,,Stored,0.0932
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,37,0.2366,,,,Stored,0.1037
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,38,0.2115,,,,Stored,0.1075
Core_Musc_1,Musgravea heterophylla,MUSC,1,a,21-Jun-15,39,0.1995,,,,Stored,0.1075
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,1,0.1956,0,10,Small piece,Stored,0.0877
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,2,0.2399,,,,Stored,0.1364
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,3,0.2306,,,,Stored,0.1266
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,4,0.2387,,,,Stored,0.1138
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,5,0.2453,,,,Stored,0.1132
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,6,0.2317,,,Black line,Stored,0.1089
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,7,0.2313,,,,Stored,0.1065
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,8,0.2339,,,,Stored,0.1077
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,9,0.2311,,,,Stored,0.1013
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,10,0.2378,,,,Stored,0.1077
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,11,0.223,,,,Stored,0.1009
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,12,0.2431,,,,Stored,0.1074
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,13,0.2425,,,,Stored,0.1019
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,14,0.2293,,,,Stored,0.1035
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,15,0.2403,,,,Stored,0.1043
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,16,0.2401,,,,Stored,0.1072
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,17,0.2306,,,,Stored,0.1019
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,18,0.2335,,,,Stored,0.1031
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,19,0.2442,,,,Stored,0.1097
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,20,0.2301,,,,Stored,0.1052
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,21,0.2404,,,"2 pieces, pre existing break",Stored,0.1085
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,22,0.239,,,,Stored,0.1039
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,23,0.2323,,,,Stored,0.1055
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,24,0.2375,,,Very small piece,Stored,0.1068
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,25,0.2407,,,,Stored,0.1089
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,26,0.2356,,,,Stored,0.1043
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,27,0.2291,,,,Stored,0.1019
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,28,0.2364,,,,Stored,0.1083
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,29,0.2379,,,,Stored,0.1075
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,30,0.2446,,,Black line,Stored,0.1138
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,31,0.2318,,,,Stored,0.1075
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,32,0.226,,,,Stored,0.1091
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,33,0.2389,,,,Stored,0.1262
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,34,0.2348,,,,Stored,0.1323
Core_Musc_2,Musgravea heterophylla,MUSC,2,a,21-Jun-15,35,0.2139,9,9,"Bark and cambium, shorter than measured length",Stored,0.0894
Core_Syz_2,Syzygium sayeri,SYZ,2,a,21-Jun-15,1,0.2072,0,9,"10,8.55 Transition from bark into wood at end",Stored,0.091
Core_Syz_2,Syzygium sayeri,SYZ,2,a,21-Jun-15,2,0.2182,9,19,,Stored,0.1085
Core_Syz_2,Syzygium sayeri,SYZ,2,a,21-Jun-15,3,0.2283,19,29,,Stored,0.1211
